date,city,order_cnt,amount,pay_amount,discountAmount,refuelLiters
2023-1-10,中石化壳牌合资公司,114658,36526181.97,36526181.97,0,4650840.47
2023-1-10,南京分公司,139046,43112256.89,43112280.98,24.09,5552956.16
2023-1-10,南通分公司,92549,28048217.88,28048217.88,0,3581750.14
2023-1-10,宿迁分公司,43895,12212382.37,12212382.37,0,1677013.99
2023-1-10,常州分公司,79104,25508381.12,25508423.54,42.42,3335847.28
2023-1-10,徐州分公司,68615,18980412.83,18980412.83,0,2475101.07
2023-1-10,扬州分公司,48795,14549146.69,14549178,31.31,1867830.35
2023-1-10,无锡分公司,70383,22846270.56,22846270.56,0,2924696.58
2023-1-10,江阴分公司,24177,7828142.59,7828142.59,0,1038473.17
2023-1-10,泰州分公司,55423,16628430.83,16628430.83,0,2133938.04
2023-1-10,淮安分公司,41090,12393465.18,12393465.18,0,1599678.6
2023-1-10,盐城分公司,51266,15292745.94,15292745.94,0,1951181.6
2023-1-10,苏州分公司,127324,41783660.16,41783660.16,0,5358312.91
2023-1-10,连云港分公司,40784,11201563.47,11201571.39,7.92,1441663.01
2023-1-10,镇江分公司,38442,12251050.91,12251050.91,0,1580176.78
2023-1-10,高速石油公司,89643,29863478.53,29863478.53,0,3830616.39
2023-1-10,,8187,2583781.46,2583781.46,0,333684.82
2023-1-11,中石化壳牌合资公司,117754,37517796.78,37517796.78,0,4771901.75
2023-1-11,南京分公司,144517,44502182.97,44502241.07,58.1,5697802.18
2023-1-11,南通分公司,96956,29219964.71,29219973.71,9,3728195.95
2023-1-11,宿迁分公司,45094,12376760.32,12376760.32,0,1720538.17
2023-1-11,常州分公司,83371,26434790.05,26434814.12,24.07,3469182.97
2023-1-11,徐州分公司,71376,19821309.84,19821327.84,18,2618867.97
2023-1-11,扬州分公司,51753,15404362.57,15404442.1,79.53,1978068.57
2023-1-11,无锡分公司,74207,23873826.48,23873826.48,0,3049518.39
2023-1-11,江阴分公司,25558,8302068.9,8302068.9,0,1201672.35
2023-1-11,泰州分公司,57846,17213910.94,17213910.94,0,2242850.31
2023-1-11,淮安分公司,44141,13059564.38,13059564.38,0,1682652.96
2023-1-11,盐城分公司,54632,16134823.43,16134823.43,0,2054768.42
2023-1-11,苏州分公司,129783,42111779.32,42111779.32,0,5392743.59
2023-1-11,连云港分公司,42656,11551199.62,11551208.62,9,1484951.47
2023-1-11,镇江分公司,41042,12782168.05,12782168.05,0,1644804.81
2023-1-11,高速石油公司,92082,30027294.82,30027294.82,0,3846976.83
2023-1-11,,8501,2673742.43,2673742.43,0,345685.42
2023-1-12,中石化壳牌合资公司,118908,37768952.54,37768952.54,0,4797251.67
2023-1-12,南京分公司,147344,45866978.5,45867012.42,33.92,5953347.44
2023-1-12,南通分公司,95755,28570553.14,28570553.14,0,3641417.88
2023-1-12,宿迁分公司,42720,11824810.83,11824810.83,0,1729618.94
2023-1-12,常州分公司,80338,25361148.02,25361174.8,26.78,3329163.1
2023-1-12,徐州分公司,67075,18743159,18743204,45,2400095.55
2023-1-12,扬州分公司,54115,15981944.49,15982017.37,72.88,2049425.9
2023-1-12,无锡分公司,71817,22907438.73,22907438.73,0,2922904.19
2023-1-12,江阴分公司,24724,7809150.16,7809150.16,0,1044580.2
