date,date_day,order_cnt,amount,pay_amount,discountAmount,refuelLiters,进站加油车量（汽油）,进站加油车量（柴油）,进站率（汽油）,进站率（柴油）,站前车流量（汽油）,站前车流量（柴油）,path,text_day,text_night,high,low,wc_day,wd_day,wc_night,wd_night,week,holidays,60000361_price,60000361_price_other,60000361_order_cnt,60000361_refuelLiters,60000361_amount,60033428_price,60033428_price_other,60033428_order_cnt,60033428_refuelLiters,60033428_amount,60000359_price,60000359_price_other,60000359_order_cnt,60000359_refuelLiters,60000359_amount,60000304_price,60000304_price_other,60000304_order_cnt,60000304_refuelLiters,60000304_amount,60000305_price,60000305_price_other,60000305_order_cnt,60000305_refuelLiters,60000305_amount,60000312_price,60000312_price_other,60000312_order_cnt,60000312_refuelLiters,60000312_amount,60000313_price,60000313_price_other,60000313_order_cnt,60000313_refuelLiters,60000313_amount,60000317_price,60000317_price_other,60000317_order_cnt,60000317_refuelLiters,60000317_amount
2023/2/1,2023/2/1,256,125702.09,125702.09,0,17283.07,170,22,4.05,3.1,4196,708,"扬州,扬州市,江苏省,中国",多云,多云,12,0,3~4级,东北风,<3级,东北风,星期三,,,,0,,,7.24,[],31,3862.63,27965.05,7.24,"[5.07, 6.59, 6.60, 7.24]",46,8057.23,58333.42,,,0,,,7.59,"[5.49, 7.19, 7.59]",124,3437.81,26091.94,,,0,,,8.07,"[5.84, 7.57, 8.07]",37,1525.66,12312.35,,,0,,
2023/2/2,2023/2/2,308,140764.19,140764.19,0,19493.31,175,31,4.2,4.13,4171,751,"扬州,扬州市,江苏省,中国",多云,多云,7,1,<3级,东风,<3级,东北风,星期四,,,,0,,,7.24,[],38,6272.17,45410.07,7.24,"[5.07, 6.59, 6.60, 7.24]",50,6628.25,47987.75,,,0,,,7.59,"[5.49, 7.19, 7.59]",150,4140.37,31424.24,,,0,,,8.07,"[5.84, 7.57, 8.07]",43,1761.36,14214.29,,,0,,
2023/2/3,2023/2/3,412,220308.43,220308.43,0,30291.56,236,51,5.14,5.82,4593,876,"扬州,扬州市,江苏省,中国",多云,多云,8,-2,<3级,东北风,<3级,东南风,星期五,,,,0,,,7.24,[],36,6266.02,45365.51,7.24,"[5.07, 6.59, 6.60, 7.24]",69,14899.45,107871.19,,,0,,,7.59,"[5.49, 7.19, 7.59]",200,5617.99,42639.77,,,0,,,8.07,"[5.84, 7.57, 8.07]",73,2811.75,22691.15,,,0,,
2023/2/4,2023/2/4,224,80015.1,80015.1,0,10767.07,166,30,3.79,4.07,4379,737,"扬州,扬州市,江苏省,中国",多云,多云,11,1,<3级,东风,<3级,东风,星期六,,,,0,,,7.41,[],20,2703.69,20034.03,7.41,"[5.07, 6.79, 6.80, 7.41]",29,3024.77,22413.24,,,0,,,7.76,"[5.49, 7.36, 7.76]",117,2859.16,22187.54,,,0,,,8.25,"[5.84, 7.75, 8.25]",40,1727.18,14249.65,,,0,,
2023/2/5,2023/2/5,257,102762.58,102762.58,0,13945.24,169,16,4,2.65,4229,604,"扬州,扬州市,江苏省,中国",多云,小雨,12,6,3~4级,南风,<3级,东风,星期日,,,,0,,,7.41,[],18,1277.76,9467.99,7.41,"[5.07, 6.79, 6.80, 7.41]",41,7034.52,52125.13,,,0,,,7.76,"[5.49, 7.36, 7.76]",133,3612.76,28035.6,,,0,,,8.25,"[5.84, 7.75, 8.25]",38,1405.74,11597.74,,,0,,
2023/2/6,2023/2/6,216,109918.67,109918.67,0,14703.44,137,25,3.14,3.39,4366,737,"扬州,扬州市,江苏省,中国",小雨,小雨,9,6,<3级,东风,<3级,东北风,星期一,,,,0,,,7.41,[],25,3171.23,23498.28,7.41,"[5.07, 6.79, 6.80, 7.41]",39,6767.61,50147.53,,,0,,,7.76,"[5.49, 7.36, 7.76]",95,2642.54,20506.52,,,0,,,8.25,"[5.84, 7.75, 8.25]",46,1819.26,15009.34,,,0,,
2023/2/7,2023/2/7,275,135180.82,135180.82,0,18410.66,167,26,3.63,2.65,4607,980,"扬州,扬州市,江苏省,中国",多云,多云,10,1,<3级,东北风,<3级,东北风,星期二,,,,0,,,7.41,[],23,1680.56,12452.45,7.41,"[5.07, 6.79, 6.80, 7.41]",65,11275.68,83551.85,,,0,,,7.76,"[5.49, 7.36, 7.76]",121,3158.03,24510.15,,,0,,,8.25,"[5.84, 7.75, 8.25]",38,1552.23,12806,,,0,,
2023/2/8,2023/2/8,321,139128.47,139128.47,0,18992.74,184,37,3.72,3.76,4941,984,"扬州,扬州市,江苏省,中国",多云,小雨,10,6,3~4级,东风,<3级,东风,星期三,,,,0,,,7.41,[],42,3721.58,27576.13,7.41,"[5.07, 6.79, 6.80, 7.41]",57,9154.73,67835.83,,,0,,,7.76,"[5.49, 7.36, 7.76]",159,3933.3,30523.05,,,0,,,8.25,"[5.84, 7.75, 8.25]",33,1345.29,11098.92,,,0,,
2023/2/9,2023/2/9,243,106287.92,106287.92,0,14446.53,144,28,3.19,3.1,4516,901,"扬州,扬州市,江苏省,中国",中雨,多云,7,4,3~4级,东风,<3级,北风,星期四,,,,0,,,7.41,[],27,2878.05,21326.07,7.41,"[5.07, 6.79, 6.80, 7.41]",41,5954.84,44124.86,,,0,,,7.76,"[5.49, 7.36, 7.76]",116,3262.75,25319.42,,,0,,,8.25,"[5.84, 7.75, 8.25]",38,1676.52,13831.69,,,0,,
2023/2/10,2023/2/10,327,133578.29,133578.29,0,17983.58,210,30,4.2,2.94,5001,1019,"扬州,扬州市,江苏省,中国",阴,小雨,8,4,<3级,东风,3~4级,东风,星期五,,,,0,,,7.41,[],40,3620.87,26830.2,7.41,"[5.07, 6.79, 6.80, 7.41]",57,7165.37,53094.32,,,0,,,7.76,"[5.49, 7.36, 7.76]",148,4208.51,32658.84,,,0,,,8.25,"[5.84, 7.75, 8.25]",57,2351.69,19402.13,,,0,,
