date,date_day,order_cnt,amount,pay_amount,discountAmount,refuelLiters,path,text_day,text_night,high,low,wc_day,wd_day,wc_night,wd_night,week,holidays,60000361_price,60000361_price_other,60000361_order_cnt,60000361_refuelLiters,60000361_amount,60033428_price,60033428_price_other,60033428_order_cnt,60033428_refuelLiters,60033428_amount,60000359_price,60000359_price_other,60000359_order_cnt,60000359_refuelLiters,60000359_amount,60000304_price,60000304_price_other,60000304_order_cnt,60000304_refuelLiters,60000304_amount,60000305_price,60000305_price_other,60000305_order_cnt,60000305_refuelLiters,60000305_amount,60000312_price,60000312_price_other,60000312_order_cnt,60000312_refuelLiters,60000312_amount,60000313_price,60000313_price_other,60000313_order_cnt,60000313_refuelLiters,60000313_amount,60000317_price,60000317_price_other,60000317_order_cnt,60000317_refuelLiters,60000317_amount
2023-2-20,2023-2-20,136,40219.7,40219.7,0,5275.18,"扬州,扬州市,江苏省,中国",多云,多云,12,0,<3级,东风,<3级,东北风,星期一,,,,0,,,,,0,,,7.41,[7.41],37,2863.55,21218.3,7.76,[7.76],38,899.89,6981.54,7.76,[7.76],44,918.22,7123.97,,,0,,,8.25,[8.25],17,593.52,4895.89,,,0,,
2023-2-21,2023-2-21,102,34349.53,34349.53,0,4521.17,"扬州,扬州市,江苏省,中国",多云,多云,6,0,3~4级,东风,<3级,东北风,星期二,,,,0,,,,,0,,,7.41,[7.41],27,2664.82,19745.72,7.76,[7.76],24,621.34,4820.72,7.76,[7.76],41,825.08,6401.45,,,0,,,8.25,[8.25],10,409.93,3381.64,,,0,,
2023-2-22,2023-2-22,117,51551.15,51551.15,0,6820.75,"扬州,扬州市,江苏省,中国",多云,多云,5,0,<3级,东风,<3级,东北风,星期三,,,,0,,,,,0,,,7.41,[7.41],35,4651.86,34469.77,7.76,[7.76],27,696.11,5401.23,7.76,[7.76],44,956.06,7417.51,,,0,,,8.25,[8.25],11,516.72,4262.64,,,0,,
2023-2-23,2023-2-23,100,33152.14,33152.14,0,4316.48,"扬州,扬州市,江苏省,中国",小雨,小雨,8,2,<3级,南风,<3级,西北风,星期四,,,,0,,,,,0,,,7.41,[7.41],21,1939.95,14374.79,7.76,[7.76],27,686.57,5326.97,7.76,[7.76],36,999.92,7758.15,,,0,,,8.25,[8.25],16,690.04,5692.23,,,0,,
2023-2-24,2023-2-24,126,48499.69,48499.69,0,6367.31,"扬州,扬州市,江苏省,中国",多云,多云,11,2,3~4级,北风,<3级,东北风,星期五,,,,0,,,,,0,,,7.41,[7.41],32,3965.15,29381.11,7.76,[7.76],24,733.02,5687.58,7.76,[7.76],41,687.37,5332.63,,,0,,,8.25,[8.25],29,981.77,8098.37,,,0,,
2023-2-25,2023-2-25,121,35569.37,35569.37,0,4648.24,"扬州,扬州市,江苏省,中国",多云,多云,9,-1,3~4级,东北风,<3级,东风,星期六,,,,0,,,,,0,,,7.41,[7.41],21,2217,16427.81,7.76,[7.76],39,963.45,7474.91,7.76,[7.76],45,898.76,6972.75,,,0,,,8.25,[8.25],16,569.03,4693.9,,,0,,
2023-2-26,2023-2-26,108,26616.23,26616.23,0,3444.23,"扬州,扬州市,江苏省,中国",多云,多云,10,-1,<3级,东风,<3级,东南风,星期日,,,,0,,,,,0,,,7.41,[7.41],18,1356.96,10054.58,7.76,[7.76],31,674.31,5231.64,7.76,[7.76],38,662.93,5143.24,,,0,,,8.25,[8.25],21,750.03,6186.77,,,0,,
2023-2-27,2023-2-27,123,37366.64,37366.64,0,4886.43,"扬州,扬州市,江苏省,中国",多云,多云,12,2,3~4级,南风,<3级,东南风,星期一,,,,0,,,,,0,,,7.41,[7.41],29,2755.51,20617.17,7.76,[7.76],33,810.68,6289.76,7.76,[7.76],49,877.06,6803.96,,,0,,,8.25,[8.25],12,443.18,3655.75,,,0,,
2023-2-28,2023-2-28,110,29570.54,29570.54,0,3865.18,"扬州,扬州市,江苏省,中国",多云,多云,17,7,3~4级,西风,3~4级,西北风,星期二,,,,0,,,,,0,,,7.41,[7.41],20,1779.77,13187.76,7.76,[7.76],30,709.25,5502.95,7.76,[7.76],47,962.25,7465.55,,,0,,,8.25,[8.25],13,413.91,3414.28,,,0,,
2023-3-1,2023-3-1,108,35146.24,35146.24,0,4626.85,"扬州,扬州市,江苏省,中国",多云,多云,16,2,3~4级,北风,<3级,东北风,星期三,,,,0,,,,,0,,,7.41,[7.41],19,2716.54,20129.16,7.76,[7.76],28,684.68,5312.24,7.76,[7.76],48,825.9,6407.5,,,0,,,8.25,[8.25],13,399.73,3297.34,,,0,,
